group_id	ec_number	activity	gene_a	uniprot_a	cluster_a	gene_b	uniprot_b	cluster_b
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIP	P16233	4	PNPLA3	Q9NST1	10
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIPRP1	P54315	4	LIPF	P07098	9
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIPRP1	P54315	4	PNPLA3	Q9NST1	10
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIPRP3	Q17RR3	4	LIPF	P07098	9
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIPRP3	Q17RR3	4	PNPLA3	Q9NST1	10
HNISE07	3.1.1.3	triacylglycerol lipase activity	LIPG	Q9Y5X9	4	LIPF	P07098	9
HNISE07	3.1.1.3	triacylglycerol lipase activity	LIPG	Q9Y5X9	4	PNPLA3	Q9NST1	10
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIPRP2	P54317	4	LIPF	P07098	9
HNISE07	3.1.1.3	triacylglycerol lipase activity	PNLIPRP2	P54317	4	PNPLA3	Q9NST1	10
HNISE07	3.1.1.3	triacylglycerol lipase activity	LIPF	P07098	9	PNPLA3	Q9NST1	10
HNISE08	3.1.1.29	aminoacyl-tRNA hydrolase activity	PTRH2	Q9Y3E5	1	PTRH1	Q86Y79	2
HNISE08	3.1.1.29	aminoacyl-tRNA hydrolase activity	PTRH2	Q9Y3E5	1	ICT1	Q14197	3
HNISE08	3.1.1.29	aminoacyl-tRNA hydrolase activity	PTRH1	Q86Y79	2	ICT1	Q14197	3
HNISE09	3.1.2.2	palmitoyl-CoA hydrolase activity	ACOT2	P49753	1	ACOT7	O00154	2
HNISE09	3.1.2.2	palmitoyl-CoA hydrolase activity	BAAT	Q14032	1	ACOT7	O00154	2
HNISE09	3.1.2.2	palmitoyl-CoA hydrolase activity	ACOT1	Q86TX2	1	ACOT7	O00154	2
HNISE09	3.1.2.2	palmitoyl-CoA hydrolase activity	ACOT4	Q8N9L9	1	ACOT7	O00154	2
HNISE10	3.1.3.2	acid phosphatase activity	ACP5	P13686	1	ACP2	P11117	2
HNISE10	3.1.3.2	acid phosphatase activity	ACP5	P13686	1	ACPP	P15309	2
HNISE10	3.1.3.2	acid phosphatase activity	ACP5	P13686	1	ACPT	Q9BZG2	2
HNISE10	3.1.3.2	acid phosphatase activity	ACP5	P13686	1	ACP6	Q9NPH0	2
HNISE10	3.1.3.2	acid phosphatase activity	ACP5	P13686	1	ACP1	P24666	5
HNISE10	3.1.3.2	acid phosphatase activity	ACP2	P11117	2	ACP1	P24666	5
HNISE10	3.1.3.2	acid phosphatase activity	ACPP	P15309	2	ACP1	P24666	5
HNISE10	3.1.3.2	acid phosphatase activity	ACPT	Q9BZG2	2	ACP1	P24666	5
HNISE10	3.1.3.2	acid phosphatase activity	ACP6	Q9NPH0	2	ACP1	P24666	5
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1B	Q96P26	2	NT5E	P21589	3
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1B	Q96P26	2	NT5C	Q8TCD5	5
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1B	Q96P26	2	NT5M	Q9NPB1	5
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1B	Q96P26	2	NT5C3A	Q9H0P0	7
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1B	Q96P26	2	NT5C2	P49902	9
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1A	Q9BXI3	2	NT5E	P21589	3
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1A	Q9BXI3	2	NT5C	Q8TCD5	5
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1A	Q9BXI3	2	NT5M	Q9NPB1	5
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1A	Q9BXI3	2	NT5C3A	Q9H0P0	7
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C1A	Q9BXI3	2	NT5C2	P49902	9
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5E	P21589	3	NT5C	Q8TCD5	5
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5E	P21589	3	NT5M	Q9NPB1	5
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5E	P21589	3	NT5C3A	Q9H0P0	7
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5E	P21589	3	NT5C2	P49902	9
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C	Q8TCD5	5	NT5C3A	Q9H0P0	7
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C	Q8TCD5	5	NT5C2	P49902	9
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5M	Q9NPB1	5	NT5C3A	Q9H0P0	7
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5M	Q9NPB1	5	NT5C2	P49902	9
HNISE11	3.1.3.5	5'-nucleotidase activity	NT5C3A	Q9H0P0	7	NT5C2	P49902	9
HNISE12	3.1.4.12	sphingomyelin phosphodiesterase activity	SMPD2	O60906	1	SMPD1	P17405	2
HNISE12	3.1.4.12	sphingomyelin phosphodiesterase activity	SMPD2	O60906	1	SMPD4	Q9NXE4	3
HNISE12	3.1.4.12	sphingomyelin phosphodiesterase activity	SMPD2	O60906	1	ENPP7	Q6UWV6	4
HNISE12	3.1.4.12	sphingomyelin phosphodiesterase activity	SMPD3	Q9NY59	1	SMPD1	P17405	2
HNISE12	3.1.4.12	sphingomyelin phosphodiesterase activity	SMPD3	Q9NY59	1	SMPD4	Q9NXE4	3
HNISE12	3.1.4.12	sphingomyelin phosphodiesterase activity	SMPD3	Q9NY59	1	ENPP7	Q6UWV6	4
HNISE12	3.1.4.12	sphingomyelin phosphodiesterase activity	SMPD1	P17405	2	SMPD4	Q9NXE4	3
HNISE12	3.1.4.12	sphingomyelin phosphodiesterase activity	SMPD1	P17405	2	ENPP7	Q6UWV6	4
HNISE12	3.1.4.12	sphingomyelin phosphodiesterase activity	SMPD4	Q9NXE4	3	ENPP7	Q6UWV6	4
HNISE13	4.2.99.18	DNA N-glycosylase / AP-lyase-related repair activity	NTHL1	P78549	1	APLF	Q8IW19	6
HNISE13	4.2.99.18	DNA N-glycosylase / AP-lyase-related repair activity	OGG1	O15527	1	APLF	Q8IW19	6
HNISE13	4.2.99.18	DNA N-glycosylase / AP-lyase-related repair activity	NEIL2	Q969S2	1	APLF	Q8IW19	6
HNISE13	4.2.99.18	DNA N-glycosylase / AP-lyase-related repair activity	NEIL1	Q96FI4	1	APLF	Q8IW19	6
HNISE13	4.2.99.18	DNA N-glycosylase / AP-lyase-related repair activity	APEX1	P27695	1	APLF	Q8IW19	6
HNISE13	4.2.99.18	DNA N-glycosylase / AP-lyase-related repair activity	APEX2	Q9UBZ4	1	APLF	Q8IW19	6
HNISE14	5.3.99.2	prostaglandin-D synthase activity	PTGDS	P41222	1	HPGDS	O60760	2
HNISE15	5.3.99.3	prostaglandin-E synthase activity	PTGES2	Q9H7Z7	1	PTGES	O14684	2
